iter	RMSE
0	14.56263023
1	14.1185473
2	13.69708663
3	13.28405642
4	12.94004844
5	12.56205505
6	12.2333174
7	11.89722946
8	11.5579524
9	11.26397678
10	10.96673395
11	10.71165469
12	10.49007453
13	10.27045528
14	10.02459047
15	9.857473663
16	9.665328622
17	9.476322164
18	9.284882771
19	9.114481725
20	8.971107249
21	8.818927624
22	8.667172783
23	8.518403988
24	8.3929827
25	8.251171922
26	8.143719761
27	8.004286343
28	7.893572311
29	7.776900626
30	7.680842789
31	7.577273934
32	7.491418791
33	7.400426927
34	7.318982955
35	7.219790374
36	7.134295015
37	7.043871104
38	6.983793275
39	6.921360207
40	6.873786058
41	6.80970776
42	6.739926566
43	6.685652498
44	6.622822917
45	6.569409055
46	6.52449602
47	6.489994294
48	6.459222784
49	6.411426104
50	6.371286905
51	6.336087451
52	6.290565401
53	6.254980697
54	6.213270759
55	6.178269341
56	6.150083378
57	6.125294309
58	6.098895904
59	6.073332065
60	6.041685239
61	6.005634962
62	5.981634436
63	5.949816234
64	5.923867858
65	5.903497326
66	5.885076791
67	5.857537758
68	5.843683987
69	5.829256513
70	5.806692414
71	5.793144209
72	5.778062819
73	5.76317481
74	5.750973706
75	5.735094579
76	5.718917784
77	5.704240003
78	5.689520641
79	5.67476383
80	5.660579662
81	5.644739693
82	5.629902911
83	5.617942977
84	5.603377398
85	5.595889203
86	5.584608579
87	5.579783013
88	5.568020048
89	5.557229004
90	5.550407583
91	5.540232928
92	5.532314984
93	5.525941934
94	5.520010484
95	5.511341628
96	5.504918804
97	5.495203089
98	5.4891022
99	5.484469201
100	5.478399148
101	5.471259542
102	5.463453028
103	5.452720993
104	5.446762422
105	5.441620083
106	5.432246388
107	5.425109582
108	5.420108339
109	5.41612105
110	5.41058401
111	5.405056068
112	5.400360729
113	5.396640949
114	5.391908115
115	5.386150015
116	5.38203277
117	5.376647359
118	5.370775401
119	5.367531325
120	5.364537102
121	5.359883737
122	5.354402705
123	5.349878383
124	5.345632497
125	5.342362582
126	5.338944035
127	5.335867593
128	5.330667931
129	5.327258534
130	5.325231974
131	5.320208125
132	5.316101421
133	5.313158356
134	5.310112913
135	5.304849905
136	5.300941992
137	5.298959209
138	5.295912252
139	5.293643833
140	5.290840105
141	5.288547563
142	5.284711089
143	5.281064378
144	5.27704869
145	5.273846335
146	5.272197688
147	5.269795713
148	5.265240216
149	5.262977835
150	5.261080283
151	5.257956389
152	5.254174055
153	5.249020623
154	5.247337468
155	5.24565976
156	5.243788486
157	5.23730732
158	5.233181441
159	5.227609647
160	5.226190553
161	5.223954703
162	5.221434927
163	5.216973326
164	5.215448052
165	5.213264525
166	5.211034495
167	5.207935179
168	5.204154192
169	5.202170369
170	5.198217811
171	5.194101416
172	5.188539092
173	5.186558718
174	5.184710086
175	5.180539424
176	5.178430955
177	5.176180695
178	5.173944797
179	5.171176888
180	5.170008164
181	5.166964419
182	5.163441072
183	5.159223021
184	5.157058689
185	5.15455295
186	5.152761269
187	5.148728312
188	5.147703103
189	5.145748789
190	5.144149886
191	5.142934911
192	5.141515205
193	5.137281773
194	5.136348528
195	5.132803937
196	5.130462989
197	5.128108205
198	5.126574671
199	5.122409631
