iter	Passed	Remaining
0	167	166978
1	169	84644
2	172	57163
3	174	43479
4	176	35201
5	179	29665
6	181	25767
7	183	22807
8	187	20612
9	189	18769
10	192	17303
11	195	16114
12	197	15009
13	199	14019
14	201	13203
15	202	12478
16	205	11864
17	206	11282
18	208	10744
19	209	10259
20	210	9824
21	211	9414
22	213	9065
23	214	8724
24	215	8405
25	216	8111
26	217	7835
27	218	7574
28	219	7336
29	219	7110
30	220	6904
31	221	6709
32	222	6526
33	223	6362
34	225	6204
35	225	6048
36	227	5909
37	228	5780
38	229	5660
39	230	5539
40	231	5422
41	232	5314
42	233	5202
43	234	5100
44	235	5005
45	237	4918
46	238	4828
47	239	4747
48	240	4660
49	240	4578
50	241	4500
51	242	4423
52	243	4347
53	244	4276
54	244	4209
55	246	4151
56	247	4095
57	248	4037
58	250	3989
59	251	3933
60	251	3877
61	252	3825
62	253	3772
63	254	3724
64	255	3674
65	256	3626
66	256	3578
67	258	3538
68	259	3500
69	260	3460
70	261	3419
71	262	3384
72	263	3346
73	264	3307
74	265	3268
75	265	3231
76	266	3194
77	267	3159
78	268	3125
79	269	3094
80	270	3063
81	271	3037
82	271	3003
83	272	2976
84	273	2948
85	274	2919
86	275	2890
87	276	2861
88	276	2833
89	277	2806
90	278	2783
91	279	2757
92	280	2732
93	280	2707
94	282	2687
95	283	2670
96	284	2651
97	285	2632
98	286	2610
99	287	2591
100	288	2569
101	289	2548
102	290	2527
103	290	2506
104	291	2488
105	292	2469
106	293	2451
107	294	2435
108	295	2419
109	297	2403
110	298	2388
111	299	2370
112	299	2353
113	300	2336
114	301	2319
115	302	2302
116	302	2285
117	303	2268
118	304	2252
119	304	2236
120	306	2224
121	307	2210
122	308	2198
123	309	2186
124	310	2176
125	311	2163
126	312	2148
127	313	2135
128	314	2122
129	316	2116
130	317	2103
131	317	2090
132	318	2079
133	320	2068
134	321	2056
135	322	2046
136	322	2034
137	323	2022
138	324	2011
139	325	1999
140	326	1987
141	326	1974
142	327	1962
143	328	1952
144	329	1941
